x,y,u
0.59596,0.0505051,0.152254
0.606061,0.0505051,0.142126
0.616162,0.0505051,0.132447
0.626263,0.0505051,0.123245
0.636364,0.0505051,0.114547
0.646465,0.0505051,0.106369
0,0.0606061,0.171442
0.010101,0.0606061,0.201369
0.020202,0.0606061,0.23028
0.030303,0.0606061,0.257503
0.040404,0.0606061,0.282747
0.0505051,0.0606061,0.305993
0.0606061,0.0606061,0.327363
0.0707071,0.0606061,0.347034
0.0808081,0.0606061,0.365183
0.0909091,0.0606061,0.381964
0.10101,0.0606061,0.397505
0.111111,0.0606061,0.411902
0.121212,0.0606061,0.425231
0.131313,0.0606061,0.437546
0.141414,0.0606061,0.448884
0.151515,0.0606061,0.459274
0.161616,0.0606061,0.468732
0.171717,0.0606061,0.477272
0.181818,0.0606061,0.484899
0.191919,0.0606061,0.49162
0.20202,0.0606061,0.497437
0.212121,0.0606061,0.502353
0.222222,0.0606061,0.506369
0.232323,0.0606061,0.50949
0.242424,0.0606061,0.511719
0.252525,0.0606061,0.513062
0.262626,0.0606061,0.513528
0.272727,0.0606061,0.513126
0.282828,0.0606061,0.511868
0.292929,0.0606061,0.50977
0.30303,0.0606061,0.506847
0.313131,0.0606061,0.50312
0.323232,0.0606061,0.49861
0.333333,0.0606061,0.493343
0.343434,0.0606061,0.487345
0.353535,0.0606061,0.480646
0.363636,0.0606061,0.473278
0.373737,0.0606061,0.465276
0.383838,0.0606061,0.456676
0.393939,0.0606061,0.447517
0.40404,0.0606061,0.43784
0.414141,0.0606061,0.427686
0.424242,0.0606061,0.417101
0.434343,0.0606061,0.40613
0.444444,0.0606061,0.39482
0.454545,0.0606061,0.383219
0.464646,0.0606061,0.371377
0.474747,0.0606061,0.359343
0.484848,0.0606061,0.347168
0.494949,0.0606061,0.334902
0.505051,0.0606061,0.322596
0.515152,0.0606061,0.310302
0.525253,0.0606061,0.298068
0.535354,0.0606061,0.285945
0.545455,0.0606061,0.273981
0.555556,0.0606061,0.262223
0.565657,0.0606061,0.250715
0.575758,0.0606061,0.239501
0.585859,0.0606061,0.228621
0.59596,0.0606061,0.218111
0.606061,0.0606061,0.208003
0.616162,0.0606061,0.198323
0.626263,0.0606061,0.189089
0.636364,0.0606061,0.18031
0.646465,0.0606061,0.171975
0,0.0707071,0.218118
0.010101,0.0707071,0.245696
0.020202,0.0707071,0.272608
0.030303,0.0707071,0.29836
0.040404,0.0707071,0.322664
0.0505051,0.0707071,0.34541
0.0606061,0.0707071,0.366606
0.0707071,0.0707071,0.386325
0.0808081,0.0707071,0.404662
0.0909091,0.0707071,0.421715
0.10101,0.0707071,0.437571
0.111111,0.0707071,0.452302
0.121212,0.0707071,0.465968
0.131313,0.0707071,0.478613
0.141414,0.0707071,0.490269
0.151515,0.0707071,0.500961
0.161616,0.0707071,0.510706
0.171717,0.0707071,0.519516
0.181818,0.0707071,0.527398
0.191919,0.0707071,0.534358
0.20202,0.0707071,0.5404
0.212121,0.0707071,0.545527
0.222222,0.0707071,0.549742
0.232323,0.0707071,0.55305
0.242424,0.0707071,0.555457
0.252525,0.0707071,0.556968
0.262626,0.0707071,0.557592
0.272727,0.0707071,0.557341
0.282828,0.0707071,0.556226
0.292929,0.0707071,0.554264
0.30303,0.0707071,0.551471
0.313131,0.0707071,0.547868
0.323232,0.0707071,0.543477
0.333333,0.0707071,0.538323
0.343434,0.0707071,0.532434
0.353535,0.0707071,0.52584
0.363636,0.0707071,0.518573
0.373737,0.0707071,0.510668
0.383838,0.0707071,0.502162
0.393939,0.0707071,0.493093
0.40404,0.0707071,0.483503
0.414141,0.0707071,0.473434
0.424242,0.0707071,0.462931
0.434343,0.0707071,0.45204
0.444444,0.0707071,0.440808
0.454545,0.0707071,0.429282
0.464646,0.0707071,0.417513
0.474747,0.0707071,0.405551
0.484848,0.0707071,0.393445
0.494949,0.0707071,0.381248
0.505051,0.0707071,0.369009
0.515152,0.0707071,0.356779
0.525253,0.0707071,0.344609
0.535354,0.0707071,0.332548
0.545455,0.0707071,0.320645
0.555556,0.0707071,0.308945
0.565657,0.0707071,0.297494
0.575758,0.0707071,0.286335
0.585859,0.0707071,0.275504
0.59596,0.0707071,0.265038
0.606061,0.0707071,0.254965
0.616162,0.0707071,0.245306
0.626263,0.0707071,0.23607
0.636364,0.0707071,0.227253
0.646465,0.0707071,0.218827
0,0.0808081,0.239032
0.010101,0.0808081,0.264858
0.020202,0.0808081,0.290216
0.030303,0.0808081,0.314735
0.040404,0.0808081,0.338158
0.0505051,0.0808081,0.360347
0.0606061,0.0808081,0.38125
0.0707071,0.0808081,0.400874
0.0808081,0.0808081,0.419257
0.0909091,0.0808081,0.43645
0.10101,0.0808081,0.452506
0.111111,0.0808081,0.467473
0.121212,0.0808081,0.481393
0.131313,0.0808081,0.494298
0.141414,0.0808081,0.506215
0.151515,0.0808081,0.517162
0.161616,0.0808081,0.527154
0.171717,0.0808081,0.536201
0.181818,0.0808081,0.544309
0.191919,0.0808081,0.551485
0.20202,0.0808081,0.557731
0.212121,0.0808081,0.563053
0.222222,0.0808081,0.567453
0.232323,0.0808081,0.570936
0.242424,0.0808081,0.573509
0.252525,0.0808081,0.575178
0.262626,0.0808081,0.575953
0.272727,0.0808081,0.575846
0.282828,0.0808081,0.574868
0.292929,0.0808081,0.573036
0.30303,0.0808081,0.570369
0.313131,0.0808081,0.566885
0.323232,0.0808081,0.562609
0.333333,0.0808081,0.557565
0.343434,0.0808081,0.551783
0.353535,0.0808081,0.545291
0.363636,0.0808081,0.538122
0.373737,0.0808081,0.530312
0.383838,0.0808081,0.521898
0.393939,0.0808081,0.512918
0.40404,0.0808081,0.503414
0.414141,0.0808081,0.493429
0.424242,0.0808081,0.483007
0.434343,0.0808081,0.472195
0.444444,0.0808081,0.461039
0.454545,0.0808081,0.449589
0.464646,0.0808081,0.437893
0.474747,0.0808081,0.426002
0.484848,0.0808081,0.413966
0.494949,0.0808081,0.401837
0.505051,0.0808081,0.389665
0.515152,0.0808081,0.377502
0.525253,0.0808081,0.365397
0.535354,0.0808081,0.3534
0.545455,0.0808081,0.34156
0.555556,0.0808081,0.329924
0.565657,0.0808081,0.318535
0.575758,0.0808081,0.307437
0.585859,0.0808081,0.296667
0.59596,0.0808081,0.28626
0.606061,0.0808081,0.276242
0.616162,0.0808081,0.266633
0.626263,0.0808081,0.257437
0.636364,0.0808081,0.248645
0.646465,0.0808081,0.24022
0,0.0909091,0.231092
0.010101,0.0909091,0.255567
0.020202,0.0909091,0.279693
0.030303,0.0909091,0.303182
0.040404,0.0909091,0.325816
0.0505051,0.0909091,0.34745
0.0606061,0.0909091,0.368004
0.0707071,0.0909091,0.387448
0.0808081,0.0909091,0.40578
0.0909091,0.0909091,0.423016
0.10101,0.0909091,0.439182
0.111111,0.0909091,0.454304
0.121212,0.0909091,0.468406
0.131313,0.0909091,0.481511
0.141414,0.0909091,0.493636
0.151515,0.0909091,0.504793
0.161616,0.0909091,0.514993
0.171717,0.0909091,0.524244
0.181818,0.0909091,0.532551
0.191919,0.0909091,0.539919
0.20202,0.0909091,0.54635
0.212121,0.0909091,0.551848
0.222222,0.0909091,0.556417
0.232323,0.0909091,0.560063
0.242424,0.0909091,0.562791
0.252525,0.0909091,0.564609
0.262626,0.0909091,0.565526
0.272727,0.0909091,0.565554
0.282828,0.0909091,0.564707
0.292929,0.0909091,0.563
0.30303,0.0909091,0.560452
0.313131,0.0909091,0.557084
0.323232,0.0909091,0.552919
0.333333,0.0909091,0.547982
0.343434,0.0909091,0.542302
0.353535,0.0909091,0.535909
0.363636,0.0909091,0.528837
0.373737,0.0909091,0.521119
0.383838,0.0909091,0.512795
0.393939,0.0909091,0.503902
0.40404,0.0909091,0.494483
0.414141,0.0909091,0.48458
0.424242,0.0909091,0.474238
0.434343,0.0909091,0.463504
0.444444,0.0909091,0.452424
0.454545,0.0909091,0.441047
0.464646,0.0909091,0.429424
0.474747,0.0909091,0.417604
0.484848,0.0909091,0.405638
0.494949,0.0909091,0.393578
0.505051,0.0909091,0.381474
0.515152,0.0909091,0.369378
0.525253,0.0909091,0.357339
0.535354,0.0909091,0.345409
0.545455,0.0909091,0.333635
0.555556,0.0909091,0.322066
0.565657,0.0909091,0.310745
0.575758,0.0909091,0.299716
0.585859,0.0909091,0.289019
0.59596,0.0909091,0.278686
0.606061,0.0909091,0.268747
0.616162,0.0909091,0.25922
0.626263,0.0909091,0.250114
0.636364,0.0909091,0.241418
0.646465,0.0909091,0.233098
0,0.10101,0.195343
0.010101,0.10101,0.218747
0.020202,0.10101,0.241878
0.030303,0.10101,0.264506
0.040404,0.10101,0.286443
0.0505051,0.10101,0.307553
0.0606061,0.10101,0.327743
0.0707071,0.10101,0.346961
0.0808081,0.10101,0.365179
0.0909091,0.10101,0.382391
0.10101,0.10101,0.398598
0.111111,0.10101,0.413809
0.121212,0.10101,0.428035
0.131313,0.10101,0.441287
0.141414,0.10101,0.453572
0.151515,0.10101,0.464898
0.161616,0.10101,0.475271
0.171717,0.10101,0.484696
0.181818,0.10101,0.493174
0.191919,0.10101,0.50071
0.20202,0.10101,0.507305
0.212121,0.10101,0.512963
0.222222,0.10101,0.517687
0.232323,0.10101,0.521481
0.242424,0.10101,0.524353
0.252525,0.10101,0.526309
0.262626,0.10101,0.527359
0.272727,0.10101,0.527515
0.282828,0.10101,0.526791
0.292929,0.10101,0.525204
